"File","Quote"
"D01_AI时代独立思考的价值.md","所有人都在调用同一个大脑"
"D01_AI时代独立思考的价值.md","独立得出不同结论的心理成本变得更高"
"D01_AI时代独立思考的价值.md","14天实验：独立思考训练营"
"D02_资产vs负债.md","数字资产的边际复制成本趋近于零"
"D02_资产vs负债.md","路径1（创作者路线）"
"D02_资产vs负债.md","路径2（开发者路线）"
"D02_资产vs负债.md","路径3（混合路线）"
"D03_多巴胺天平.md","晨间60分钟零刺激"
"D03_多巴胺天平.md","用姜胡说的""带着问题阅读""替代刷信息流"
"D03_多巴胺天平.md","每周一天""慢刺激日"""
"D05_认知Bug防御.md","Bug 1：确认偏误（Confirmation Bias）"
"D05_认知Bug防御.md","Bug 2：可得性启发（Availability Heuristic）"
"D05_认知Bug防御.md","Bug 3：锚定效应（Anchoring）"
"D05_认知Bug防御.md","Bug 4：框架效应（Framing Effect）"
"D05_认知Bug防御.md","Bug 5：沉没成本谬误（Sunk Cost Fallacy）"
"D05_认知Bug防御.md","Bug 6：后见之明偏见（Hindsight Bias）"
"D05_认知Bug防御.md","Bug 7：过度自信（Overconfidence）"
"D05_认知Bug防御.md","Bug 8：损失厌恶（Loss Aversion）"
"D05_认知Bug防御.md","Bug 9：从众效应（Bandwagon Effect）"
"D05_认知Bug防御.md","Bug 10：基本归因错误（Fundamental Attribution Error）"
"D05_认知Bug防御.md","Bug 11：光环效应（Halo Effect）"
"D05_认知Bug防御.md","Bug 12：自我损耗（Ego Depletion）"
"D103_饮食决策框架.md","[dbs-content五维诊断]"
"D104_昼夜节律重建.md","[dbs-content五维诊断]"
"D105_成瘾不是意志力问题.md","[dbs-content五维诊断]"
"D106_睡眠不是休息.md","[dbs-content五维诊断]"
"D107_认知目标函数.md","[dbs-content五维诊断]"
"D108_形象不是虚伪.md","[dbs-content五维诊断]"
"D109_代际错位即杠杆.md","[dbs-content五维诊断]"
"D110_多巴胺基线崩塌与修复.md","[dbs-content五维诊断]"
"D20_连续天数.md","设置""最小定义""而非""理想定义"""
"D20_连续天数.md","不连续""两天""原则"
"D21_形象杠杆.md","维度1：一致性信号。"
"D21_形象杠杆.md","维度2：群体归属信号。"
"D21_形象杠杆.md","维度3：稀缺性信号。"
"D21_形象杠杆.md","研究目标群体的视觉语言"
"D21_形象杠杆.md","X(Twitter)"
"D22_拖延的三种类型.md","延迟决策的反向应用"
"D24_反脆弱未来.md","维度1：收入反脆弱。"
"D24_反脆弱未来.md","维度2：情绪反脆弱。"
"D24_反脆弱未来.md","维度3：认知反脆弱。"
"D24_反脆弱未来.md","维度4：关系反脆弱。"
"D24_反脆弱未来.md","维度5：身份反脆弱。"
"D24_反脆弱未来.md","原则1：冗余不等于反脆弱。"
"D24_反脆弱未来.md","原则2：小剂量暴露。"
"D24_反脆弱未来.md","原则3：不对称回报。"
"D25_自律即自爱.md","操作层1：把""应该""换成""值得""。"
"D25_自律即自爱.md","操作层2：把""100%执行""换成""维持链条""。"
"D25_自律即自爱.md","操作层3：把""结果导向""换成""身份导向""。"
"D26_焦虑公式.md","变量1：降欲望（不是降低野心，是降低比较范围）"
"D26_焦虑公式.md","变量2：升能力（短期聚焦1个，长期系统提升）"
"D26_焦虑公式.md","变量3：增耐心（训练延迟满足的反向肌肉）"
"D27_元认知训练.md","练习1：反思——回看你的决策"
"D27_元认知训练.md","练习2：冥想——观察你的思绪"
"D27_元认知训练.md","练习3：写作——把模糊的想法写出来"
"D29_依恋可改变.md","安全型（50-60%）"
"D29_依恋可改变.md","步骤1：ECR-R量表自测。"
"D29_依恋可改变.md","步骤2：识别你的""重复情节""。"
"D29_依恋可改变.md","步骤3：安全的人+脆弱练习。"
"D30_历史的教训.md","正面：建立你的信息不对称优势。"
"D30_历史的教训.md","反面：保护你的信息不对称不被""自过滤""。"
"D30_历史的教训.md","季度""第一性审计""问题清单："
"D31_信息茧房.md","建造者1：算法推荐系统。"
"D31_信息茧房.md","建造者2：你自己的认知Bug。"
"D31_信息茧房.md","建造者3：信息不对称的系统性强化。"
"D31_信息茧房.md","级别1：推荐茧房。"
"D31_信息茧房.md","级别2：社交茧房。"
"D31_信息茧房.md","级别3：认知茧房。"
"D31_信息茧房.md","关注3个你""直觉上反对""但""理性上知道有水平""的人。"
"D31_信息茧房.md","每季度做一次""我被什么说服了""的回顾。"
"D31_信息茧房.md","找到你的""认知盲点举报人""。"
"D33_社交媒体税.md","Step 1: 算出你的月认知税。"
"D33_社交媒体税.md","Step 2: 做一次社交媒体断食（3天足够）。"
"D33_社交媒体税.md","Step 3: 从""被动消费""切换到""主动消费""。"
"D34_知识转化率.md","泄漏1：获取，所以理解（泄漏率 ~50%）"
"D34_知识转化率.md","泄漏2：理解，所以内化（泄漏率 ~60%）"
"D34_知识转化率.md","泄漏3：内化，所以行为改变（泄漏率 ~80%）"
"D34_知识转化率.md","泄漏4：行为改变，所以产生结果（泄漏率 ~70%）"
"D35_环境设计.md","层级1：默认选择设计。"
"D35_环境设计.md","层级2：摩擦设计。"
"D35_环境设计.md","层级3：社交环境设计。"
"D36_个人IP本质.md","测试1：如果你停更3个月，你的IP还剩多少？"
"D36_个人IP本质.md","测试2：如果你换个平台/换个名字/换个形式，你的核心受众会不会跟过来？"
"D37_创作系统进化.md","子系统1：输入系统。"
"D37_创作系统进化.md","子系统2：生产系统。"
"D37_创作系统进化.md","子系统3：反馈系统。"
"D38_深度工作.md","敌人1：任务切换。"
"D38_深度工作.md","敌人2：残留注意力。"
"D38_深度工作.md","敌人3：环境碎片化。"
"D38_深度工作.md","敌人4：注意力阈值下降。"
"D38_深度工作.md","Step 1：时间封锁。"
"D38_深度工作.md","Step 2：环境重构。"
"D38_深度工作.md","Step 3：注意力热身。"
"D38_深度工作.md","Step 4：2小时极限。"
"D38_深度工作.md","Step 5：训练你的专注力肌肉。"
"D39_决策质量.md","Bug 1：确认偏误。"
"D39_决策质量.md","Bug 2：社会证明。"
"D39_决策质量.md","Bug 3：损失厌恶。"
"D39_决策质量.md","Bug 4：过度自信。"
"D39_决策质量.md","Bug 5：锚定效应。"
"D39_决策质量.md","Layer 1：Bug识别清单。"
"D39_决策质量.md","Layer 2：强制延迟。"
"D39_决策质量.md","Layer 3：寻找假设反例。"
"D39_决策质量.md","Layer 4：找一个人扮演""故意唱反调""的角色。"
"D40_终身学习.md","策略1：选一个从未质疑的常识，所以连续5个为什么。"
"D40_终身学习.md","策略3：区分""事实""和""大家都说""。"
"D41_概念解剖.md","Step 1：一句话定义。"
"D41_概念解剖.md","Step 2：三个具体例子。"
"D41_概念解剖.md","Step 3：成立条件。"
"D41_概念解剖.md","Step 4：反例与边界。"
"D41_概念解剖.md","Step 5：给我自己的行动指南。"
"D42_写作与思考.md","逻辑连贯性的强制检查"
"D43_数字极简.md","层1：移除触发器。"
"D43_数字极简.md","层2：多巴胺替代。"
"D43_数字极简.md","层3：重建""非数字意义源""。"
"D44_复利暗面.md","案例1：技能复亏。"
"D44_复利暗面.md","案例2：关系复亏。"
"D44_复利暗面.md","案例3：身份复亏。"
"D45_关系权力.md","面孔1：需求不对称。"
"D45_关系权力.md","面孔2：替代选项不对称。"
"D45_关系权力.md","面孔3：投入不对称。"
"D45_关系权力.md","面孔4：情绪稳定性不对称。"
"D45_关系权力.md","面孔5：叙事权不对称。"
"D45_关系权力.md","Step 1：识别不对称。"
"D45_关系权力.md","Step 2：建立独立的情感基础设施。"
"D45_关系权力.md","Step 3：重夺叙事权。"
"D46_创作者经济学.md","阶段1：注意力捕获。"
"D46_创作者经济学.md","阶段2：信任建立。"
"D46_创作者经济学.md","卡在阶段1（注意力捕获）"
"D46_创作者经济学.md","卡在阶段2（信任建立）"
"D46_创作者经济学.md","卡在阶段3（货币化）"
"D47_睡眠与认知.md","睡前1小时""降级照明"""
"D47_睡眠与认知.md","早晨15分钟户外光"
"D51_阅人术.md","窗口1：压力下的反应。"
"D51_阅人术.md","窗口2：对待弱者的方式。"
"D51_阅人术.md","窗口3：冲突中的叙事方式。"
"D51_阅人术.md","窗口4：对反馈的反应。"
"D64_导师与自学.md","具体策略：系统性输出"
"D66_熵与秩序.md","必须每日输入能量的领域（不可妥协）"
"D66_熵与秩序.md","每周输入能量的领域（可安排但不可跳过）"
"D66_熵与秩序.md","每月输入能量的领域（容忍一定的熵增）"
"D70_脆弱的力量.md","第二步（第8-14天）"
"D70_脆弱的力量.md","第三步（第15-21天）"
"D70_脆弱的力量.md","第四步（第22天之后）"
"D71_时间的感知.md","策略1：每月至少一个""完全新体验"""
"D71_时间的感知.md","策略2：切断""自动导航"""
"D71_时间的感知.md","策略3：""新信息前置"""
"D72_社交资本.md","免费但高价值的帮助"
"D73_身份与标签.md","能力（Can Do）"
"D74_反馈的勇气.md","第一步（语言分离）"
"D74_反馈的勇气.md","第二步（来源分离）"
"D74_反馈的勇气.md","第三步（意图分离）"
"D74_反馈的勇气.md","第一层（识别Bug）"
"D74_反馈的勇气.md","第二层（建立检查清单）"
"D74_反馈的勇气.md","第三层（延迟防御反应）"
"D74_反馈的勇气.md","第四层（主动寻求反方观点）"
"D75_输出驱动学习.md","每日1句话（前14天）"
"D75_输出驱动学习.md","每周1段话（第15-30天）"
"D75_输出驱动学习.md","每月1篇长文（第31天后）"
"D75_输出驱动学习.md","杠杠1：输入时就在规划输出"
"D75_输出驱动学习.md","杠杠2：不在同一话题上只用一个来源"
"D75_输出驱动学习.md","杠杠3：输出完成后，把你的内容""教""给一个人"
"D76_认知卸载.md","第二层：注意力分配卸载"
"D77_动机的科学.md","第一步：刺激节食（前3-7天）"
"D77_动机的科学.md","第二步：痛苦优先（每天最开始做最难的事）"
"D77_动机的科学.md","第三步：建立""收益可见窗口""（长期坚持的关键）"
"D78_感恩的科学.md","第二步（第8-14天）"
"D78_感恩的科学.md","第三步（第15-21天）"
"D78_感恩的科学.md","第四步（第22天之后）"
"D79_故事的力量.md","Happy（有趣）"
"D79_故事的力量.md","Knowledge（有信息量）"
"D79_故事的力量.md","Resonance（有共鸣）"
"D79_故事的力量.md","第二步（第15-30天）"
"D79_故事的力量.md","第三步（第31天后）"
"D80_反依赖与亲密恐惧.md","信号1：关系变深时的""自动撤退"""
"D80_反依赖与亲密恐惧.md","信号2：""我自己可以""的过度使用"
"D80_反依赖与亲密恐惧.md","信号3：用""策略""代替""真实"""
"D81_形象管理ROI科学.md","第1件：换一副适配的眼镜（一次性）"
"D81_形象管理ROI科学.md","第2件：每天5分钟基础护肤（每天）"
"D81_形象管理ROI科学.md","第3件：每周2次下颌线训练（每周）"
"D82_代际错位.md","层次1：物理远离（当安全受到威胁时）"
"D82_代际错位.md","层次2：认知分离（理解但不原谅某些具体行为）"
"D82_代际错位.md","层次3：资产转化（把代际错位变成你的IP差异）"
"D83_负循环破解.md","环境第1改：手机删除最高刺激APP"
"D83_负循环破解.md","环境第2改：手机充电器放卧室门外"
"D83_负循环破解.md","环境第3改：清理桌面，只留电脑+1本书+1笔记本"
"D85_14天实验SOP.md","Step 1：定义假设"
"D85_14天实验SOP.md","Step 2：设置基线"
"D85_14天实验SOP.md","Step 3：14天执行+每日最小记录"
"D85_14天实验SOP.md","Step 4：Day 15评估+决策"
"D91_一人企业AI杠杆.md","14天一人企业实验"
"D96_平台策略.md","平台选择的DBS决策矩阵"
"_REPAIR_REPORT.md","【产出Skill链】"
"_REPAIR_REPORT.md","SCORE: 9.5/10 \| dbs-content: …"
"_REPAIR_REPORT.md","【产出Skill链】"
"_REPAIR_REPORT.md","当所有人都能一键获取""标准答案""，能独立思考的人不再只是""聪明""——他们是稀缺资源。"
"_REPAIR_REPORT.md","SCORE: 9.5/10 | 返工次数: 0 | dbs-content: 五维诊断通过(...) | dbs-content-system: QST+OPI+CAS+SOL 四类内容单元全程对接 | 来源可溯"
"_REPAIR_REPORT.md","伪精确自测数字核验（E3）"
"_REPAIR_REPORT.md","名人引用核验（E2）"
